রেখেছিলেন	Kept it
এঁটে	To fix
বাইশটি	Twenty two
বেরও	Get out
েই	This is
ঘটনাকে	The incident
ালিতে	In the house
যাঁকে	To whom
খুললেও	Open up
কংক	The scales
তকরনের	For example
10টায়	At 10pm
মঁদ	The mound
তকালে	At that time
ষুধা	The drug
দেখবে	Will see
৭৫শতাংশ	75 percent
বলেই	That's because
রাজধানীতে	In the capital
যাগাজিনে	In the back
এটাতে	In it
যাবর	Come back
শীতে	In winter
ছড়িয়েছে	Spread out
এবারেও	This time too
খেলাটি	The game
থীপ	The thief
বেশির	Most of them
তুম-এ	You in
সেতুর	The bridge
হাজারটিরও	Thousands of
মৃতিতে	In mind
বাসকেও	Buses too
ফৌজের	The fog
মোটেই	At all,aught.adverb,any.adverb,whatever.adverb,at all.adverb
কারেরও	Carre also
তাইওয়ানবাসী	Taiwanese people
রদাহও	Radaha too
এতদূর	So far,so far.adverb,insomuch.adverb,pro tanto.adverb
সমাজে	In the society,in public.adverb
ডিজাইনার	The designer,designer.noun
যবাহিনীর	The air force
মুসলিমরাই	Muslims are
কারনে	Because of
উপকারে	In benefit
আইভরির	Côte d'Ivoire
মূলভুভাগ	Main house
দিয়েছিলো	Gave it
সেবায়	In service
আততায়ী	It's up to,assailant
বিরাটাকারের	Big bang
জায়গাটাকেও	Place also
লাদেনের	Bin Laden
করছিল	Was doing
রতিনিধিরাও	Ratinidira too
রতিরোধজ	Riot resistance
ধারনাও	Ideas too
অপরাধে	In crime
চলের১২.৭	12.7 of the wheel
করতেও	Do it
নগরীতে	In the city
বিমানে	On the plane
ফিরবে	Come back
একধরনের	One kind
কমিউনিটির	The community
ছাউনির	The camp
তারাও	They too
মানবে	Will agree
২০০৪-এর	Of 2004
পরতে	To wear
িঘর	The house
বিমানটিকে	The plane
তাকিয়ে	Looked at
পাইনি	Did not get it
ষাতকালে	In the evening
এইতো	So here
আংকারায়	In sync
১১টায়	At 11pm
ঝড	The jump
টানেলের	The tunnels
একধাপ	One step
দলটির	The team
থাকলেও	Even though
মরুভূমির	The desert
শুনলাম	I heard
নেব	Take it
মহাদেশের	The continent
বেরোতে	Get out
রেখ	Check out
ওঠতে	Rise up
পথেই	On the way
বিপুলমাত	Huge math
যথাথর	As far as
মামলার	In the case
মিশরে	In Egypt
বেশীদিন	Long days
রিসমাসও	Rimsus too
কারায়	Because of
শিপ	The ship
ভাবী-মায়েরা	Future mothers
পাহাড়ের	The mountains
আকাশের	The sky
তিনশোটিরও	Three hundred
এলাকাটি	The area
বসনিয়ার	Bosnia and Herzegovina
ষায়অধিকতর	More than that
যাগত	To know
লিশাধিক	More than usual
7টায়	At 7pm
হতেও	Be there
অববাহিকায়	In the basin
ভিসে	In the vicinity
চাইলেও	If you want
টকেও	Make sure
এগুলো	These are
জাহাজটিকে	The ship
আসা-যাওয়ার	Come and go
অনেকগুলিই	Many are
সংগঠনও	Organization also
তিনী	The story
ভুললে	Forget it
রাখলে	Put it
দেশী-বিদেশী	Domestic and foreign
ঞাতসারে	In the world
বলেননি	Did not say
মোতায়েনকালে	During the deployment
হতাহতদের	The casualties
কটে	Cut off
কায়মনে	In the house
নিকটতম	The closest,nearer.adjective,proximate.adjective,next.adjective
কোনভাবেই	In any way
দুজনের	Both of them
বাড়িঘর	The house,homestead.noun
মানভাষী	Standard speakers
দুশোরও	Two hundred
পদযাত	Stepped down
15টিরও	15 of them
বসনিয়ায়	In Bosnia
শুধরে	Right away
উঠার	Wake up
বলিনি	Did not say
কাতার-এ	In Qatar
রগুলোকে	The stars
ইসরায়েলও	Israel also
আল-কায়দা	Al Qaeda
সেনাকে	The army
ষেপকে	To the sapake
লোকটির	The man's
মূলভুভাগের	Main section
নীতি-মামলায়	In the case of the policy
দুরুহ	The groom
ভারতও	India also
ছিদ	The chest
সুদানও	Sudan also
মানিতেই	In mind
চীন-সহ	Including China
যমেও	Even after
পৃথিবীকে	The world
খবরটা	The news
যাকয়	Let's see
খেয়ে	To eat
উদাহরন	For example
ফুরিত	Full moon
৮টায়	At 8 o'clock
ইজরায়েলকে	To Israel
দেশেই	In the country
রকৌশলীদের	The robbers
দেখিয়ে	By showing
নাইরোবিতে	In Nairobi
তেজিত	Lit up
পোপকে	The pope
ছোঁড়ে	Throws up
৫০জন	50 people
যোগাযোগে	Contact Us
ধাঁচে	In style
মোগাডিসুতে	In Mogadishu
ভূমিকাকে	The role of the role
উপত	Upside down
ঘটানোয়	To be used
দাঁড়াতে	Stand up
কৃষিতে	In agriculture
বয়েসের	Old age
সবকালীন	All time
ষিনাংশে	In sixty two
ীর	His mother
দূতকে	The angel
সরকারকেই	The government
সেদিন	That day
মেটাতে	To meet
করনীয়	To do
বাহিনীতে	In the army
কেলে৭.৬	Cale 7.6
ঠেলে	Push up
আসছেনা	Can not come
সরেজমিনে	In the house
করেছে--আমার	Has done - me
টানেলে	In tunnel
শহরটি	The city
দলটি	The team
ইউ-র	The UK
রপতির	The president
হতেন	Used to
যোদ	Just like
শহরবাসীদের	The townspeople
অনুরোধে	At the request,for the sake of.preposition,at the request of.preposition,instance of.preposition,for.preposition,on account of.preposition,at the instance of.preposition
ফলাফলকে	Results of
মেয়েটি	The girl
লেবাননে	In Lebanon
মৃতিপটে	In the mood
দেশগুলোয়	In countries
ণরূপে	As it is
গতিও	Speed too
বাসগ	The bus
বংকের	The bank
চরমতম	The ultimate,uttermost.adjective
আদালতকে	The court
বিমানসাহায	Air travel
পালনে	To celebrate
মঘাতী	The deadly
জানালে	Tell me
মিলিয়ে	In total
আইনে	Under the law
ণনাওশুনেছেন	I'm sorry
চিয়াপাও-এর	Of Chiapao
থাগুলিকে	To the thieves
আসেনি	Did not come
আসামী	The accused,defendant.noun,convict.noun,the accused.noun
দেখছি	I see
xA0ছিল	xA0 was there
উপকরণটিকে	The ingredient
দিবসের	Day of the Day
ছেলেটিকে	The boy
বিমানটির	The plane
থানীয়ভাবে	Thanh tha
ভোলকারের	The vaulters
জানাবার	To inform
যেরকম	As it is
আকাশপথে	In the air
দিলেন	Gave to
ততটা	The more,so much as,not all that
দেহও	Body too
তেই	That's it
ভধারণকালে	During Bhadkan
মিটারেরও	Meters too
বিশতম	The twenty-first
ষীদের	The peasants
জড়ো	Gather up
রণেতা	The hero
কররবে	Do it
সিট-বেল	Seat belt
চতাপমাত	Round about
পাঠানোর	To send
পরিনাম	The result
যতটা	As much as,so much as,as much,insofar
করো	Do it
ফোরণটি	The floor
লেষণই	I love you
ভেবে	Think about
জানাই	Let me know
গায়ে	On the body,upon
২৪০জনকে	240 people
দারফুর-এ	In Darfur
রঙগুলো	The colors
তুলেছিলেন	Picked up
দেখিনি	Did not see
টলোকের	The towers
জানায়না	Do not tell
যাতহভাবে	As soon as
কতকাল	How long,how long.adverb,for a long time.adverb
১২টায়	At 12:00
পটভূমিতে	In the background
নিহতদের	The dead
নতদেশগুলোর	Lowering the Neighbors
সেতুটির	The bridge
হাঁস-মুরগীর	Poultry poultry
দেন	Give it,dan.noun
বাঁদিকে	To the left,left.adverb
ইউনিটটি	The unit
কয়েকজন	A few,some.pronoun
তারকে	The star
থবছর	In the beginning
তরিতহবে	The triangle
রাখি	Keep it
বংসকারী	The baker
যতমুখী	As many as possible
রতিরোধকারীরা	The protesters
পাঠাতে	To send
অধিকারেরও	Rights too
ভরার	Fill out
জীবনযাপনে	Living life
এরকমই	Like that
সেবিষয়ে	In this regard
লীগায়	In league
পরলে	Put on
রোগটি	The disease
হাটি	The hottie
কতটা	How much
মতোই	Similar to
রদূতদের	The ropes
এটাই	That's it
ফেললে	Throw down
মৌলিকনীতি	Fundamental policy,postulate.noun
অনসারে	On the other hand
রেখেছিল	Kept it
পয়েছেন	Got it
হোটেলটি	The hotel
সংগঠনের	The organization
সেইজন	that person
সেনাদেরকে	The soldiers
দুধরনের	Two way
ফোনে	On the phone
পারবেনা	Can not
তিটির	The arrow
করেছিলো	Did it
তবয়স	Twenty four
৭০জন	70 people
বিতের	The verdict
রদূতও	The remote
কিছুকাল	For a while
মহাসমারোহে	In the sea
বিপদসীমার	Danger zone
ঠেকানোর	To stop
এজাহারে	In details
পেয়েছিলাম	Got it
দেখবো	Will see
জনগণকে	The people
খেয়েছিল	Had eaten
এবারও	This time
অফিসেও	Office too
১৯জন	19 people
সেনাশিবিরে	Army camp
থাকব	Will be
পাদনে	In the foot
অভিধানে	In the dictionary
ঠীপতিদের	The chiefs
ছড	The roof
ওগুলো	Those are
১০০মিলিলিটারের	100 ml
যরাতে	Move on
উড়িয়ে	Blow up
যবহার--	Use of--
যাহতি	As a result
কতে	To come
খাব	To eat
মূলীকরণ	The basics
গেলে	If you do
একবছর	one year
ভূভাগ	Ground floor,tract
কুকুরটিকে	The dog
ওয়াশিংটনে	In Washington
দূতাবাসটি	The embassy
থিতিতেও	In the meantime
ভবনে	In the building
হটিয়ে	To overcome
চামাংশেরও	Of the skin
রকৌশলীর	The technician
করলেও	Even though
এদিন	This day
রীসভায়	In the Reception
দিয়েই	By the way
খুঁজছেন	Looking for
দূতের	The ambassador
দেয়ালে	On the wall
খাতে	In the sector
লান	The lane
শহরবাসীরা	The townspeople
দরজাটি	The door
ইসলামে	In Islam
যবিত	Have been
ষাতে	In sixty
এইভাবে	This way
ভেঙেছে	Broke up
যাবজ	All right
দিতেও	Give it
করান	Make it,lead.verb,cause to execute.verb,cause to do.verb,cause to perform.verb,cause to accomplish.verb
লাসায়	In lasay
হানতে	To kill
কথাটা	Talk about
ইতালিতে	In Italy
সকে	Check it out
হাগুলোর	In the air
উপাসনাগৃহের	House of worship
জাপানও	Japan also
গুলগুলো	The balls
হিসেবেই	As it is
রুখতে	To stop
পড়েছিল	Read out
বিষয়ের	The subject
মরণসভায়	In mortuary
সেতুটি	The bridge
অনুন	But please
খসড়াটি	The draft
থানটি	Police station
জেরুসালেমে	In Jerusalem
পাখিও	Birds too
রদূতের	The rider
সবই	All this
ফেলেছেন	We have dropped
জিনিসগুলি	Things to do
চারদিন	Four days
ঘরগুলো	The houses
সেদেশে	In that country
বেশীর	Most of them
ছিল৬.৭	Was 6.7
আরোও	Even more
ফিলিপিনসের	The Philippines
দুজনে	Both of them
ঘটাতে	To cause
আসিনি	Did not come
তিগতভাবেও	As well as
আইনেরই	Of the law
কোয়ালিশনকে	The Coalition
খোঁজার	Find out
লোককের	The guy's
ওছে	It is
দেখো	Look at
এলাকাও	Area also
সবরকম	All in all
ওকালান	Wake up
গণ-মাধ	Mass media
সৈনিকরাও	The soldiers also
ফুরিয়ে	Run out
নেতাকে	The leader
ঘতম	The clock
আড়াইশো	Two and a half hundred
কাটাবেন	To spend
অবাধকরণের	The rigging
যাধি	By the way
বেড়াতে	To visit
তুলেছিলো	Took up
জানাল	Say it
একাংশ	A part,aliquot part
ভাবছিলাম	I was thinking
পেরেছি	Made it possible
জানাতো	Wanna know
তিটি	It is
বৃটেনেও	In Britain also
৩কোটি	30 million
যাথা	As soon as
পেলাম	Got it
ততক	So much
উচুতে	High up
লাগাতে	Put in
রাণীর	The Queen
এরপরের	Next up
মানকাজে	At standard level
রমণকারীদের	Entertaining players
ভাষান	The language
থভাবে	By the way
সেবুতে	In Cebu
গভীড়	To understand
পানিটি	The water
২৭০জন	270 people
নতিতে	In progress
দোষিদের	The guilty
ভুগছিলেন	Was suffering
ণয়ের	My friend
জানাবেন	Please tell
জানত	Knew about
যাও	Go to
চাইতেও	Even more
৮৩জন	83 people
দশকে	In the decade
মানাধীন	Under the cover
বদেশের	The countryside
পাঁচবার	Five times,five times.adverb
3.00টেয়	3.00 tayay
জানমালের	Life and property
১৫শতাংশ	15 percent
রাঙ	The ring
নিয়েছি	Have taken
৮৫জন	85 people
সবধরনের	All types of
আসবেনা	Will not come
ঘোরাফেরা	Roam around
পেরেছেন	Have done
গমেজ	The grasses
নোটটি	The note
আমলের	Of the period
ধারণাই	The idea
বিমানবাহিনীর	Air force
সরকারবে	In government
কদের	Who are you
সেনাবাহিনীতে	In the army
মরুভুমিতে	In the desert
এইমর	This is
নাগরিককেও	Citizens also
উপলদ	The occasion
তিবিশেষের	To the other
ডিলে	In dale
পৌঁছাবার	To reach
পেয়েছি	Got it
কালোবাজারী	Black market
জামার	Dressing up
ধনকারী	The rich
পুড়িয়েছে	Burned down
৬২বছর	62 years
সমাধিতে	In the tomb
বৃটেনে	In Britain
নামও	Name too
ঠীকে	Keep silent
লাশী	The dead body
পেন-এর	The Pen
দিনটিকে	The day
এমনিতেই	That's why
জীবন-যাপন	Living life
রাককালে	During the rakas
উপরিভাগ	The top,cap.noun,face.noun,top.noun,bosom.noun,surface.noun
ণগঠন	The collection
সগুলোর	All of them
খাইনি	Did not eat
জগুলোর	Get it
বাগদাদে	In Baghdad
রগুলোতে	In the fields
পড়েছেন	Have read
পেলেন	Got it
গেছি	Have gone
সে-কথা	Those words
পিউটারে	On the computer
হয়েছিলো	Has happened
সভাপতির	The President
করেছিলাম	I did
উঠছিলেন	Getting up
থামাতে	To stop
রবারও	Rubber too
বিরাটসংখ	Large number
মানবাধিকারের	Human rights
ছেলেটি	The boy
যদেশগুলোকে	The countries
পরিমানে	The amount
ভাষাভাষা	Language Language
রশাসনবে	In Rashtanabe
ানোর	Turn to
রথমদিকে	In the middle
সমতলভূমিতে	In the plains
অভাবের	Lack of
১০শতাংশ	10 percent
দুনিয়ায়	In the world
আরবে	In Arabia
নৌকায়	In the boat
যবাহিনী	Fire brigade
চালিয়েছিলো	Has operated
দামকে	The price
নগরীর	Of the city
দূতাবাসগুলিতে	In the embassies
রণীত	The queen
90এর	Of 90s
রাণীদের	The queen
এখনই	Right now,straight off.phrase,already.phrase,at once.phrase
কথাটি	The word
ধবিমানকে	The rivalry
থনকারী	Police officer
তারই	That's it
এরও	Also of
রোগএইডস	Disease AIDS
তিনমিনিট	Three minutes
শুতে	To sleep
ষরকারী	The sorcerer
জেগে	Wake up
ফেলেন	Throw away
সাবমেরিনটির	The submarine
পারলাম	Got me
রাজধানীর	The capital
নৌকাটিকে	The boat
পাতের	The shoes
ঘটবে	Will happen
তকারীরা	The guards
এসে-যায়	Come and go
নিলামটি	The auction
পুঁতে	The buttocks
ঞাপনের	To check
অতি-বিরল	Extremely rare
আসতে	Come in
গাজায়	In Gaza
পথকে	The way
ভুগলেও	Even though
উঠবেন	Wake up
মোকাবেলায়	To combat
মোহনায়	In the estuary
যেসব	Which are
খেতে	To eat
ফলেই	As a result
কয়েকদিন	For a few days
আলমারীতে	In the cupboard
ভাইরাসটিই	The virus is the same
ইসরায়েলকে	To Israel
ঢুকে	Get in
য-র	Of y
এতো	So much
ভাবাই	Do you think
আততায়ীর	The assailant
ঘনিয়ে	Closer to
ষিণতম	The threshold
রাখতেই	Keep it
গেলেও	Even though
চলগুলিতে	In the running
ফোরণ	The fron
রশাসক	The reporter
ধিমান	High and mighty
উঠেছিলো	Got up
নদনদী	The river
পেয়েছিলেন	Got it
পৄথিবীর	The church
ঢোকার	To enter
জাহাজে	On the ship,on board,afloat
থা---	Tha ---
ধেও	Hold on
কালেই	In time
ফেলতে	To throw
১৪জন	14 people
চলো	Come on,Come on!.interjection
বাড়িতে	At home,within doors
ভূগতে	In geography
চাপে	Under pressure
বিহারে	In Bihar
