ይገረስሳሉ	They will be circumcised
ባይችልም	Not possible
አላሳድን	We did not drive
ማዞሪያ	Turnaround
አይሰማ	No it's not
የግጭቱ	Conflict
የተመዘገበውና	Registered and
ከተከሰተውና	If it happened
በማይ	Far from it
ከጫቃ	From the bosom
ሸሪፍ	Shepherd
እህሉን	Selling the grain
የብራዚሉ	Brazil
የማእከላይ	Center
ሊገኙ	Get found
አዛለች	She commands
ተሽቀዳድሞ	Racing
ለአኗኗራቸው	Their way of life
አክራ-ጋና	Accra-Ghana
በተኙበት	In bed
እንዳደረገም	As he did
በሕክምናው	In medicine
እግሮቿ	Her feet
የሚገናኘው	Connected
የCAL	CAL
በኒኩወር	In Nuclear
ዲፕሎማቶችና	Diplomats
አቋርጧል	Interrupted
በሆላንድ	In Holland
ለመሪዎች	Leaders
ዋልክ	Awkward
የተከለቻቸው	Revised
ከ56	Of 56
እደምን	I believe
መልዕክትም	Message
ባለስልጣንት	Authorities
ጥልቀቱ	Deep
መቃወሙ	Oppose
ያለመቆጠሩ	Not counted
ሙሥጦፋ	Moustafa
ሊያጋልጥ	expose
ከሽፈዋል	Fail
ሼካቶ	Cheetah
ሊሰበርና	Broken
ህዝባቹና	people
ባድረግም	If not
ተበላሽቶ	Spoiled
ሎረን	Lauren
እሚያስለቅስ	cry
ከማምጣቱ	From
የአባታቸውንም	And their fathers
እንገዳደለን	We'll be killed
የተጠበቀ	Protected
እንደሚያሰራጭ	Spread
ከተረፈው	What's left of
ሳይጠቅስ	Without mention
የጻድቃኖች	righteous
የ54	Of 54
ልምምዷን	Her practice
አማኑ	Believe me
እንደሚጋለጡ	As exposed
ተተክለዋል	Have been added
ኦኪሂቶ	Otomi
ማሬ	Mari
በሕንጻ	Building
ቀሹር	Late
በቱሉ	By the time
እንዳማይኖራቸው	Do not have them
ማምጣቱን	Let's get it
አፈናዎች	Legends
ከቃጠሎው	From burning
በጄኔቫ	In Geneva
ደፍነዋል	Did you hear it?
የሀገራትን	country
ሪዘርቭ	Red
ከመምህሩ	From the Teacher
የሚያስፈልግ	Required
ኮትዲቩዋርን	Quoddiever
በርትታለች	By her
ናዬስታኒን	Neighbors
አውሎነፋስ	Hurricane
ከቻላችሁ	If you can
ከቀያቴው	From the daybreak
ብህፃኑ	baby
ፌዴሬሺኖች	FEDERS
መሰበሩን	We broke up
በኃላና	After
አሰቡ	Think
የሺንዋ	Shino
ከማሳየት	From showing
ያገግማሉ	They will recover
እንዲጓጓዝ	ship
አቅዳው	Plan it
አለቃህን	Your chieftain
ኳሲ-ኦፊሺያል	Quasi-Asian
እንዳይሰራጭ	Unpin
ሰነበትክ	You know
ፀሐፊዋ	author
ያለዉም	Either
ክትትልን	Follow up
ተበትነን	We were scattered
የሚደርስበትን	What to expect
ማቋቋምያ	Establishment
እያሰባሰበ	Gathered
ሸቀጣ	Merchandise
ጎንደርን	Gondar
እንደሚያሰባስብም	As well
ባሳልፍነው	We went through it
ወዳ	Friend
ዳኮስታ	Dakota
እየጠነከረ	Getting stronger
በማጤን	Consider
የከበዱ	Heavy
መክፈቷን	Her opening
ምክንያትት	Reason
አርሣኖ	Exercise
ሲያቋርጡ	When you interrupt
ከወደብ	From the ground
ለፅንፈኛው	To the Evil One
4መቶ	4 hundred
አደጋና	Danger
በመቀመጡ	By sitting
ግጭቶቹም	The conflicts
ስለማትችል	Because you can not
የሚያስነሳው	Up
ተነጋግሯል	Has spoken
አዛውንቶችን	Old men
ከ450	From 450
አቀራቢ	Distributor
ከአላማችን	From our goal
ለአረጋዊያን	For the elderly
ገለበጠችው	She overthrew her
የአርቲስቶችን	Artists
ሊከት	Play
ለመሆናቸው	They are
የሚኖረውም	It will
በመረባረብ	In merging
እያፀዳ	Clean
እንደሚመደቡ	Assigned
የነበሯቸው	You had
ሰብብ	Shrink
ከፍተዋል	Opened
ቢስና	Unsuitable
የተደነቁ	Amazed
ድምጥማጥዋ	Her pulse
ተጨማሪው	add
49ሰ	49 h
ለንጹህ	For cleanliness
ሲሮሂ	Cyro
ከ1.4	From 1.4
ተፈቅዶላቸው	Allowed
የሚያሠጋው	Threatening
ከአሶሼትድ	From Osceed
የደራስያን	Of the Austrians
ያልተቻለባቸው	Unable
የሺህ	Thousand
ማምረትም	Production
የመወዳደር	Competition
የኮንትራት	Contract
ከአሌፖ	From Aleppo
ፍልስጤማዊያን	Palestinian
የዘገባው	report
ከአካላት	From the body
ካምፓኒ	Company
አስፍተው	Expand it
ከ86	Of 86
መስጂዱም	Mosque
የሚንከላወስ	Prevention
በሄደውድርቅ	Go away
የሶሎሞን	Of Solomon
ሬኔ	Rev
የቆሰሉበት	Wounded
ለመጀመሪያው	For the first
ከጂዛንና	From Giza
የሚያካሄድበት	Playback
ተሰጥቶ	Given
ከኬር	From Chern
የቁሳቁስ	Material
2006ዓም	July 2006
የተያያዘዉን	Connected
ድርቆችና	Dots
ፖለቲከኞችንና	Politicians
አሳሳቢና	Of concern
አበርክታለች	Offered
በማርዶማክ	By Morodom
ለተመቱ	For years
በተመሳቀለ	Fused
ስለሚበከሉና	They will be corrupted
ከቤቶቹና	From the homes and canteen
መሠንዘሩን	Lay the foundation
አሣዘኝ	Hurt me
ተቀበረች	She's buried
ካናዳም	Canada
እንዳስቻለ	Enabled
ሸሽተዉ	Run away
ለ143	For 143
ከሶሮቃ	From Soros
አጥሯል	Canceled
ሲሟገት	When defending
አይበጅ	Not applicable
ጃላዋር	Jurassic
መጥፋቱንና	And they shall perish
ተሰርቶለት	Built it
ሲያደርሱባቸው	When they reach them
ከመቁረጥ	Cutting
ርሀቡን	Dharma
ልደውልላት	Let's go
አየተከሰተ	It happened
ግራኙ	Left
ዳኢ	Dai
የካሪቢያኗን	The Caribbean
አጥባቂ	Conservative
የኮሌራ	Cholera
የቆፈሩትን	That which was stamped
በበደሉ	Injustice
መክሯል	Recommended
ናዬስታኒ	Nyanissima
ፋዱሞ	Fogo
በምትገልፀው	By the way
አስደግፎ	Support
ቅምያ	Proverb
ሴቶችም	Women
ምናል	Maybe
ርዱ	Do it
በምንጠራው	In the affair
መሻከር	Overhaul
ማጣታቸው	Loss
ተፈልተውና	For they are idle
ልባቹ	Heart
ስትወስን	When deciding
ቢጎተጉቱአቸውም	And if they oppress them
ተአማኒነታቸውም	And their credibility
ኣደራ	Attend
ያጋንናሉ	We do not have to look upwards
ጥራጥሪዎችና	And rice husks
በፃነት	Liberty
የሚነቅፉ	Harassment
ጉራዋ	Guru
የስነህዝብ	Demographics
የአመፁን	rebellion
ወደምትገኘው	To
አደመቃት	Achievement
ማሣዎችን	Fishing
የሚሳዩዋቸው	Show them
ስምምነታቸውን	Agree
ያላቸውንና	We have
ያለቀውን	Finished
በመደገሙ	Repeated
ፈፅሙ	Complete it
ከወደ	If so
ሲያጋዩት	When you watch it
ላጋጠማቸዉ	They confronted me
ግንኙነቷንና	And her relationship
አይንና	Let's see
በማሰማራትም	And by profession
ለታሠሩ	build
ከቁብ	From scratch
በአልኮል	Alcohol
ለመጀምርያ	Getting started
በኤዢያ	In the iGoogle
የሕመም	Disease
ምርኮኞች	Captives
ለሰኔ	For me
ያደራጀው	Organized
ለውሃ	For water
የጡረተኞች	Retirees
የቴይፔ	Tepe
የተወነጀሉት	Incurred
የሚያስፈልጋቸውም	They need them
ቋል	Stink
እንደሚያብራራው	As explained
17ሺ	17 thousand
በኮትዲቩዋር	By Cordoba
የከሱና	Honey
በጂንግሻን	By Jiang Shan
3ቱ	3
ባንግዊን	Bengwen
ሲያቦኩት	When I pack it
የጃፓንን	Japan
እንስሳቱን	Play the animals
ያስፋፉታል	They will expand it
ሪፈር	Riff
በሶስቱ	By the three
መስጂዱ	Mosque
የመብትጥያቄ	A question of right
በአደን	Hunting
የኢትዮጰያ	Ethiopia
በማጣጣል	By plowing
ከሞቃዲሾና	From Mogadishu
አወደመ	He destroyed it
በቤልጄም	In Belgium
እንዳያረግዙ	Uncut
ድረገ	Hell
የደብረብርሃኑ	Debre Berhan
ጥሪታቸውን	Their money
በወንጀለኞች	Criminals
ኦሞት	Omo
ጥንካሬያቸውን	Their strength
ለማንበርከከ	inflict
ንጉሴ	Niki
መካናት	Barren
በመማጸን	Pleading with God
መሸፈኑ	Cover it
ወርደዋል	They have come down
ላንድሮቨር	Lanzarote
ተፈናቅለዉ	Get rid of them
የአኅጉራዊ	Ethnic
ዳርጓቸዋል	Has been struck
ከካናዳዋ	From Canada
አይዘነጋቸውም	Do not forget them
ዜጎቻቸውና	Their citizens
በሰደደና	He loved him
ትብብሩን	Collaborate
የስንዳ	Drunk
ጥፋትም	Damn
ማፈላለግ	Find out
ለአዳዲስ	For new
ለ1.2	For 1.2
አሳውቀናል	We've notified
መሣሪያነት	Tool
አትንኖ	Do not underestimate
መንቀሳቀሱም	move
የተሰበሰበን	Collected
ተሸካሚነት	Carrier
ከሰርካለም	From Sankalbel
የማርክሲስት	Marxist
የሚሻዕ	Bite
የተገዛ	Purchased
የተኪያሄደውን	procedure
አስደንግጦ	Shocking
ሳንድራ	Sandra
የዚያኑ	That's it
ለማህበራት	For organizations
የዶሎ	Dolphin
የሚፈልገዉ	What's it?
ሳይስከትል	Not too bad
ካልተነቀለ	Unplugged
ህብረተሰቡና	Community and community
የቆረጠ	Cut
ለዱቄት	For flour
ሳያደርጋቸው	Do not
ይበቃችሗልና	For it is enough
በ1848	In 1848
ካተሪን	Catherine
ለዛው	For that
እንደተቃረቡ	Approaching
በኦሮሞዎች	Oromos
ከተደረሰበት	If received
ለሴኔት	For Seniors
ጎትጉተዋል	You are pushing
መለገሷንና	She gave her presents
የተሣሣቱ	Sorry
አላልፍም	Do not go
በባልና	With a husband
አናግረዋለሁ	I will talk
መደበቂያዎችን	Hide hides
ተከፋፉሎ	Broken down
እንዲያስከትል	cause
ጉዌራን	Goura
ክሊኒኮችን	Clinics
የሶማልኛ	Somali
ለእሸትም	And for sale
ጂዖ-ፊዚክስ	Geo-physics
ያስመሰክራል	Proving
አገርጎብኚዎችን	Tourists
ባብዛኛዎቹ	Most of
ናያልከዉ	Snap
ህጻናቱን	Children
መሥኪድን	Insurance
በመቆየቱና	Because of his delay
ያረጋገጡት	Confirmed
አሳፍራ	Breaking
የእርዳታዎቹም	And the benefits
የእሣቱ	fire
ነገረችህ	She told you
የሚሰጣቸውም	And give them
ያሰባሰበ	Gathering
ከ2003	From 2003
ተጎዱ	Hurt
ድብደባውን	torture
የሁከቱ	Hurricane
ከአላስካ	From Alaska
መድኅኒት	Medicine
በጃኑዋሪ	In January
ታቋርጥ	Interrupt
አማራጮችና	Options and
ተገልብጦ	Overturn
ከ1-5	1 to 5
መገዳደልና	He was murdered
ትንበያዎችን	Forecasts
ለምና	For
እንዳንጫረስ	Let's break it
በሚተዳደረው	Managed by
ተላቅቃለች	Has broken away
ተቀራርበው	Close
በመሸፈን	Covered
ራሣችሁን	Your head
የሚዘባበት	For mockery
ቢወደስ	If he is praised
ዓምና	Ana
የተመለሱ	Returned
ጃሎር	Jolie
ተናግረህ	Tell you
ወንዲራድ	Judo
በንቁ	By the way
በመስጠትም	And giving it
የምንገድልበት	die
አስገነዘበ	He realized
አክቲቭ	Active
ማስከተላቸውን	Follow us
እንደሚታይ	As shown
መንጥሮ	Of course
የሚፈሰው	Flowing
ያካሂዳሉ	They are doing
የከፈቱት	You unlock it
እያስተባበረ	Interacting
አይዘጋም	Will not shut down
የተጠጋጉና	Around
በብሪስቶል	By Bristol
የ44	Of 44
አ.ም	NO
ከእስክንድር	From Eskinder
ታሶሮ	Tarshish
ቀጠሮአቸው	Appointment
የቡሩንዶ	Buzzo
በደረቁት	By drowning
ያጠቃን	Attack us
ለሪፖርተራችን	For our rapporteur
ሶላት	SOLAT
መከሠቱ	What happened?
አወሳስቦት	Insights
የሚያስችሉን	What we can do
ድርጊቶችን	Actions
ሙጥኝ	Witness
ባለመታወቁ	Not known
የወይዘሮ	Gay
የዮዲት	Judith
በተባለች	Called
መንቀጥቀ	Shake
በተነሳባቸው	Resolved
ሳላሕ	Shua
ስሪቱ	Version
ስዊዲን	Sweden
የሚባሉትን	Play
በአተት	By mistake
ሲጣስ	When it is omitted
አብዱሰላም	Abdullah
መባሉንም	And he is called
ከሚዘርፉ	From the looting
ቆጥረናል	We count
በረድኤት	Snow
የሚያስፈፅሙት	Perform
የሚልወሰወስ	Identification
ባለመስጠታቸው	Not provided
በሚጎበኙበት	On the go
ነቅንቋል	Dumb
ፉርድ	Fuck
እንደትምባሆ	Tobacco
የሚነቃነቁ	Activated
በመስጊድ	In the mosque
ያጋጥመኛል	I encounter it
በመጣራት	By harping
ማቋረጣቸው	Interrupt
ባገኙበት	Include
ሊቀርብላቸው	Be available to them
ተጋርጦባቸው	Play them
እህላቸውን	Their fried
እንደሄደ	Went
ተደርሶበታል	Has been discovered
ያልታወቁትን	Unknown
ማውደሙ	Destroy
ማእከላዊና	Central
ቻካ	Chaco
ሲሲ	CPU
ድሮች	Websites
የአለማቀፉ	Be creative
የከባዱ	worst
ማንሣትና	Raise it
ናዋዝ	Nahaz
ስለካንሰር	About Cancer
ካነጋገራቸው	If you speak to them
ጋዲሳ	Gaddie
በሽር	Wreck
ቅስፈታ	Slope
ይፈናቀላሉ	They will be disgusted
ሰበቦች	Cults
ሲሾሙ	When to Appoint
መድብሎችን	Assumptions
የባለስልጣናትን	Authorities
ሠምሮ	Teaching
60ከመቶ	60 percent
የመጋለጥ	Exposure
ሊያይል	Hey!
ፕሬቫልን	Prave
ተግባሩን	task
የፔን	Penn's
ቁልጭ	Shiny
እያጋዝነው	We're sorry
አመሸህ	You have to
ዉማን	Oman
የዘረፋችሁት	You kidnapped
እንቅስቃሲዎች	Incense
ስብዕናው	Personality
መውደሙንም	And they were in love
መምጣቱንና	And that they had come
ተገለዋል	Have been abducted
ወንድማምችነትን	Brotherhood
ከቀጠላ	If it is not
ስርፋ	OFF
የታወቀውም	Well known
ሁፍ	Whip
ድልድይም	Bridge
የሚሞተው	He dies
ኩካሼካ	Kecska
ትመለሱ	Go back
ኢናሕዳ	Ananda
እስኪል	Play it
በቀሩ	rest
የሚያዋጣው	make
እንዳይለውጡ	Do not change
የመወሰድ	Cast
ከታዩ	If visible
ከብቶቻችንም	Our livestock
መዘጋት	Shut down
ሙድሮክ	Murdock
በሂሊኮፕተር	By the computer
መርጂያ	Meri
ተለክቷል	Measured
የጥረታችን	Our Help
ተፈመውባታል	He's cured
በመካከላቸውም	Between them
ምትገኘው	Get it
በግብረ	On parity
ከካምፓላ	From Kampala
ጉንጉን	Glitter
ሓጂ	Awesome
ስትሮክ	Stroke
መመደብ	Assignment
ትችቶችን	Critics
የስፓርት	Sports
በኢንቴቤ	In Entebbe
እስኪያስገቡ	Let alone
ያፍሪካውያኑ	Africans
15ኛ	15th
ይደግፉ	Support
የማጥፊያ	Dropping
መረጃንና	Information
ፅናት	Endurance
እንደለሌ	If so
እንደሁም	Also
ካርቱኑ	cartoon
3ደ40ሰ	3d 40h
ካሜሩንና	Cameroon
መስዋትነትን	Sacrifice
ፌብርዋሪ	February
ለመሸፈት	wrap
ሄቤ	Hey
እንደሚገኙና	That they are
በተሣካ	Successful
ለጉዳቱ	For the damage
እንዳይነዱ	Do not drive
መሕትት	Misery
እንዳያመራ	Not to let it
የተጠቀመበት	Used
ደንደስ	Snowman
ባልተናነሰ	By comparison
24ዓመታት	24 years
ከሚገድሉት	If they kill him
ስው	Guy
ትወስዳለህ	You will take it
ምንጮቹ	The sources
ደገፍ	Support
ቅሪቶችን	Fest
መሰራታቸውና	And of them
ሰርቨይ	Surveillance
ከ380	From 380
በቡድሂስት	In Buddhism
የአሳት	Fire
ለሰለባዎቹ	For the worshipers
እንደሰደደ	He was mad
እንደሚለቁ	You will be redirected
ማስጠንቀቂያውን	Warning
ለካናዳና	For Canada
የአላስካ	Alaska
ለቡርንዲ	For Burundi
የሚ	Beat
የኒሞንያ	Of Nineveh
ለማመጽ	disobey
የገንዘብም	Money
የባለስልጣኑ	Authority
ሶሪያዊ	Syria
በምሥሉ	Im guessing
ጥበቃው	protection
እያፈሰ	Pouring out
ያስጠለለችና	Because she cares
ሜትሮችን	Meters
እንደሚሞቱ	They will die
ፋሽስታዊው	The Fascist
እንደሚሆኑም	As well
የ2ዐ11ዱን	Take twelve doses
አጣጥለውታል	You eliminated it
ያላካል	No one
እንዲለቁሃላፊዎች	Executives
ሜል	Mail
እንደሰጠው	As he did
ወንጀላ	Crime
አድርጋችሁታል	You did it
ዋታራ	Watat
የተለመድ	Matches
የመሞት	Death
ከሚፈትኗት	What you can test
በቁሳቁስ	Material
ኣጭር	Short
የህዋ	cell
የተቆፈረ	Declined
ከጋንጀስ	From the bugs
የኢራንን	Iron
የሰፈነባት	Jammed
ጉዳተኞችና	People with disabilities
ተመዘበረ	Wasted
መጠመዳቸው	Get caught
ባይካድም	Not sure
የተበጠበጠና	Stuffed
ተፈናቀሉ	Get rid of
አውርዷል	Downloaded
ምንያህል	How many
ጉድጓዶችና	Cisterns
ሰሜናዊት	Northampton
እሣት	Fire
የሚሆኑባት	Her
አቪየሽን	Aviation
ሲሞክሩም	And they try
ካዲሞች	Kamma
ሊያጠምቁ	Baptize
ሰጥታችሁ	You give it
እንዳይዛመትባት	Do not distort
በመተኮስ	Blink
የማፅናናት	Comfort
እንተፈጠረ	We were created
ክስተቶችን	Events
እንዳይሰጡ	Do not give up
ሰራዊትን	Military
የዳግ	Dork
ኦች	Yes
ለማስታወስና	memorize
ዐብደል-ፋታሕ	Imperial-Fata
የጥቅምት	Useful
እንደገደሉ	You killed
ግንዛቤዎችንም	Insights
የተምታታ	Distraction
ማረምያ	Correction
መደብሮቹም	stores
ቢቆይም	Even then
አስጊና	Dangerous
አሳታሚና	Publisher
አነጣጥረው	Try it
ነርስዋ	Nurse
ዩዌሪ	Yuri
ለተረጅዎች	For the people
