EmiNiTybaba	IWeb
Stade	Stadium
Agouna	Agrippa
ẹmaa	missed
hiha	dilemma.noun
ijambaọkọ	collision
ijẹrìí	witness
aàrún	chip,disease.noun
kosunkun	bigger
Ijọba-ibilẹ	Domestic government
ṣegeṣege	performance
nologun	eight
yìì	go away,roll.noun,roll.verb
Renhe	Rename
ikẹhin	last.adjective,ultimate.adjective
Salakọ	Salary
kánmọ	easy
ikooko	drive,hyena.noun
Famuditimi	Cash
kiaisan	sorcerer
Jhalawar	Martial arts
Ijaye-Ojokoro	Over-Depth
Kofoworola	Driver
iṣẹere	workday
lefoo	leopard
agbede	all over,average.adjective,average.noun
onigba	coral
filo	thread,notify.verb
alailopin	infinite,boundless.adjective
un-ma	one-me
yabara	tactics
ajo-afe	trip-tour
asebi	birthplace
asoro	noodles,hammock.noun
ijinaa	funny
ogege	delay
Onipanu	Welcome
lodilodi	criticism
Trier	Sort
kòsi	not available,nothing.adverb,none.pronoun
wọnlawakọ	illegal
ilẹwa	landing
aarin-gbungbun	mid-center
oduduwa.kollinton	inspiration.kollinton
metalelogorun	quarterly
nilati	have to
aibalẹ	worry
àṣórí	expired
funagbaṣẹṣe	transgressor
Itaja	Shop
tefe-tefe	Tea Coffee
Idi-Ikan	Reason
ńpẹja	come near
jinjin	crease,depth.noun
Jankara	Janar
irojo	warmth
travelling	traveling
ruru	due
alasọ	alarms
ṣàṣàrò	meditate,meditation.noun,meditate.verb
wiwọn	measurements,rare.adjective
Mbaitoli	Country
ndẹ	cool
alékún	full
nibu	shot
Akungba	Acceptance
ndé	people
Feesibuuku	Reception
dafiseyin	goddess
fie	where
ile-asofin	legislature
nlọọlẹ	downwards
iṣẹlẹnaa	eventnaa
sitoofu	overnight,stove.noun
kẹdùn	feel sorry,grieve.verb
iriran	strange,sight.noun
Malariaisiba	Malaria
ibẹrufawọn	fears
nrin	walking
afunrasi	affinity
Oodun	Everyday
tona	ton
lojukoju	realistic
ègbó	ivory,sore.adjective,wound.noun,trauma.noun
eledumare	elegance
mílà	breathing
oníyọ	solution
dunyan	sweetheart
atokunrin	boyfriend
oyeolu	centimeters
lododun	annually
Olode	Captain
àmù	box
loókọ	school
n-un	n-one
bujade	print
Sanusiwa	Sanusi
Ile-Iṣẹ	Company,company.noun,corporation.noun,firm.adjective,industrial.adjective,center.noun,factory.noun
gbọfa	touch
Kanonikan	One
Kerubu	Kerub
sun-kẹrẹ	they are too
jijọwọ	trademark
Wu	swell.verb
lonikan	lonely
ẹdun-arinlẹ	anxiety
kọjaagbara	powerlessness
wọnyí	following,these.pronoun,these.adjective
abìrì	thunderstorm
màálu	run,cow.noun,cattle.noun
besile	nearby
tarun	tarp
ọpọawọn	multiple
kówa	you
papa-isere	playground
ilẹ-to	land-to,colony.noun
ipónlogo	long
asewole	inquiry
àgbàtọ	agent
ipayin	scale
Omije	Sorrow,tear.verb,tear.noun
osa	lagoon.noun
oodunrun	just one
ọnateeyan	recipient
bolorunduro	disapproval
Iranlowo	Aid,subsidy.noun,subsidiary.noun
olokowo	trader
Alakia	Alaska
erupẹ	dust,sand.noun
ntàn	shine
ṣetòo	take care
medogun	nineteen
fọdi	quadruple
làbùmu	gloves
ibapade	bomber
agbaṣẹṣe	contractor
lesekan	second
mẹtà	three,three.noun
Premier	First
lojokojo	day by day
gbamu-gbamu-gbamu	bump-pumping
ibara-idi	convenience
adugba	admire
sina	no
túúbú	loose
tikanratikanra	acne
onrisi	tested
disagreement	disagree
Fọlakẹmi	Trust
ọmọ-ọdun	grandson
niDabanga	inDabanga
iforowanilenu	terrifying
mèsìọ	absent
Dukia	All
alailenikan	alarming
nsan	too
wakatí	late,hour.noun
ẹgbin	pollution
AarẹMuhammadu	Muhammad
Salo	Run away
morò	I guess
omoo	baby
nrọjo	nightmare
gaan	okay,actually.adverb,literally.adverb
nìí	today
Jodani	German
agbọrọdun	pesticide
gọọ	please read
Ọlọmọjọbi	Wonderful
mowo	trade
gbọgbọ	debt,every.adjective
jíṣu	cold
Sofin	Soft
ìko	education,beak.noun,cough.noun,cough.verb,hook.noun
nu.Awon	nu.won
Ẹgbẹgun	Army
Ojúkòrò	Greed
Asin	Mouse
kilometa	kilometer
ogorun-un	one percent
Eya	version.noun,brand.verb,component.noun,category.noun,brand.noun,feature.noun
ijiji	flies
mokanlogbon	midnight
Yibo	Change
pàmọ	known,hide.verb
Ibala	Ibal
kabaamọ	account
tẹlẹtẹlẹ	previously,formerly.adverb
odobirin	girlfriend
Dẹrẹbajiipu	Didobajiipu
adọọta	tickets
Niṣẹe	Yes
lọpẹlu	too much
nro	nervous
nigboṣe	niggardly
mo.Ikan	for.Is
ifowospwopo	ifowospokopo
agbesunmomi	coalition
Sia	Yes
óorun	sunset,odor.noun,smell.verb,sun.noun
Onibode	Counterfeit
lantu	lantern
rogbodo	sustainable
boti	bump
ilaa-oorun	east-west
BAALE	husband.noun
Akerebiata	August
bòẹ	dark
Saidaiji	Shortly
olóríire	best,lucky.adjective,fortunate.adjective
afaku	lightweight,fatal.adjective
Esin	Religion,religion.noun
atẹranṣẹ	printer
idakuda	disruption
tanba	save
ọgọjọ	hundreds
ojo-ori	age,age.verb
lajule	layout
oòrun	sunny,odor.noun,smell.verb,sun.noun
dọsinni	dump
iiko	bitterness
Onwoye	Natural
kálẹ	spread out
kọmiṣannafeto	configuration
ẹri-ọkan	proof
lemọlemọ	repeatedly
AsoOke	Thursday
nibudoko	cabinet
molẹ	I could,bright.adjective
Sabon	New
Apẹtẹ	Leopard
Oloba	Police
ifura	suspicious,premonition.noun,instinct.noun,apprehensive.adjective,suspicious.adjective,reaction.noun
lẹlẹ	drop down
iyowu	envy
diarrhoea	diarrhea
alabarapa	free shipping
kekoo	acoustic,train.verb
ntótó	clearance
alaadanu	thank you
bíbó	shooting
ONAABAYO	OFFICIAL,solution.noun
Layinka	Your line
sileewenaa	unhealthy
ọpọigba	many
tanganra	tens
jágbọ	free
Arọwaasi	Compass
Ènìyan	Lioness,person.noun,human.noun,people.noun
gbamugbamu	explosion
adamaalu	good
ubu	shoulder
tufo	please
Alabi-Oloye	Alabi-Chief
Yin	Doing
orunmila	adventurous
Isinku	Funeral,burial.noun,funeral.noun
Kwajafa	Publishing
kanna-ankori	same-ankle
iṣẹlẹaburu	disastrous
a-gbọ-dami-loju	a-hear-dami-on
jaǹba	jagoba
Onisegun	Doctors
gboggbo	bulk
Alawo	Wrap
ẹni-ori	tax
gbéyàá-gbéyàá	beautiful-fashioned
agbáláìsàn	sick
lakọkọ	processes,moment.noun
kilowa	how
Ṣadeedelawọn	Preparedness
tarasasa	tossed
aitii	less
Igbara-Oke	High Speed
kogbwo	complicated
Questionnier	Question
AbeokutaMọṣuari	October-March
lonii	today
onideeri	athlete
daje	four
ngbaradi	preparing
Alakatakiti	Gambling
atawọnogiri	colorful
ogunlọgo	banner
lefa	leve
fomo	flower
jẹnẹra	maybe
ọna-ọfun	helmets
aàru	weight
Onabanjo	Sofia
ọlọla	noble,royal.adjective
sinuagbara	empowerment
ọna-mọto	technology
látàrí	as a result
Eduamre	Edwin
AGBARA	POWER
Iroakazi	Absolute
gbomogbomo	embroidered
sunkẹrẹ	low
ríì	no
Iifepost	Homepage
sonso	barely
agbegbin	crop
atobirin	gorgeous
keekeke	glands
igboku	escape
àgu	bite
iboju	screen,veil.noun,mask.noun,screen.noun
nsegbonse	discount
kanra	cancer,harsh.adjective
arọọrọ	boundaries
baba-agba	black-colored
ṣàngbà	extensively
amoriya	american,motivation.noun,incentive.noun
elegbejegbe	colony,classical.adjective
bìnú	blue,annoy.verb,vent.noun
otẹ	tea,plot.noun
tuya	that
Daada	Okay
afinimọ	sociably
agbasodi	addiction
kongẹ	cheaper
sabè	sabate
Adenekan	Content
agbale	spider
akope	touch
Hadaka	Collaboration
gbìyànjúu	argue
Apakala	Apparatus
itunú	negative,comfort.noun
ẹ	you
jubọmbu	jubmbmbu
Ẹfọn-Alaaye	Easy-to-use
taani-yoo-mu-mi	typhoon
iya-iya	mother-in-law
esisi	specialty
dọsan	bite
peyelati	chocolate
pajuda	obviously
Ọna-abayọ	The way out,solution.noun
oyinbó	bees
Jikwoyi	I'm sorry
jegudu-jera	Jegudu will go
onishegun	headache
sakitan	Sakitan
ìpèe	call
rayeraye	eternal
lojuomi	click on
sìni	andni
ọmọọya	kid
lálààfíà	peace
Minisitita	Minister
ibudoko	consolidation
ladojukọ	layout
WilDeji	Wink
redio-foonu	radio-phone
ọgbẹlẹ	shovel
yán-yán	skeleton
Naijeri	Naijian
eeyaan	tricks
Sirohi	Cigar
ara-a	self-a
nihinyi	here
apoda	powder
agiriki	material
inaja	inaccurate
isélé	isélé,event.noun,eventful.adjective,incident.noun,occur.verb,occurrence.noun
Ologun-eru	Military-heavy
farapaIdris	seduction
agbebọnrin	comedy
Olúyọ	Happy
ọkọ-ero	carrier
fúnwa	for us
kpomo	wrap
lawọawọn	friendly
Ṣina	China
agbana	burst
ranwọnlọwọ	right now
Abẹbi	Abuse
egbodo	guess
Arrondissement	Arrow
ìrìnná-ọkọ	trips
momi	mom
iberubojo	fearful
lassayii	sleeve
ikoro	use,bitterness.noun
ilé-ìgbé	housing
mulé	finished
nṣeto	run
omologun	six hundred
konga	part
ṣájú	first
mejidilọgbọn	twenty-two
ránṣe	sent
tepele	plate
Emab	Emma
Apa-Keta	Third-party
igbanila	release
Liloan	Use
Tomori	Tomor
Ìséyìn	Lastly
ifowo-pamọ	bankruptcy
nsewadi	research
tiaisan	sick
oju-popo	face-to-face
tiwan-tiwa	democracy
Okan	One,heart.noun,conscience.noun,mind.noun
lọkunun-kun-dun	harsh-hearted
aimokanmokan	breeze
foṣu	buyer
Gbajugbaja	Wonderful
car	because
fata	leather
Asobode	Saturday
ṣunu	sorry
Ironujinle	Anxiety
aibegbemu	ethics
OSE	week.noun
jẹyán	cheat
ogún-ólé	twenty-one
nijọḅa	yesterday
bulabula	bumps
lawọnti	laptops
lawọnalaṣẹ	graduate
jinnu	jinn
Naijeriya	Nigeria
ralẹtawọn	calculated
afọwọkọ	masterpiece
pẹ	soon,late.adverb,late.adjective
wólẹ	down,enter.verb
lohu	sweat
odikeji	next
wayelaarin	silhouette
jamùrá	jam
rèfò	live
ebutekọ	pickup
bómi	asmi
dúnrún	dorm
OSU	month.noun
tunka	tune
alakeji	interval
sẹhin	behind
abanilokanje	trailer
ojuona	direction
ƒOniruuru	ƒOnce
alaidawo	hello
lọwọlogiri	activelogiri
didena	discarded
làwá	here
Ndubuisi	Training
peleke	carpet
ariwa-ila	north-line
èniyan-itan	storytelling
ṣayé	dressed
ìru	war,type.noun,tail.noun,kind.noun
toraaye	adolescent
Àkíìkà	Ignorance
dunlẹ	tonight
Enekweizu	It is not
gbararè	traded
rababa	discount
Sẹlẹ	Sit on
ọgọọgọru	hospitable
lahi	many
Ofurufu	Aircraft,sky.noun
awoku	bugs
tedo	stored
Keffi	Cover
Majidun	Congress
lọpẹlọpẹ	please
ọḷọpọ	joint
arọọrọda	decreased
nkoju	disappointment
alai-nile-lori	ala-all-over
ikanju	harsh,haste.noun
igboiya	confidence
idagiri	crisis
Wọlọkada	Below
ejeruru	loaded
iyará	broadcast,speed.noun,acceleration.noun
kìrìstẹ	hesitate
tiya	draw
Odu-to-da-iwa	Exercise
Mofẹ	Fun
apaniyan	murderer
Itàn	History
njagun	fashion
itọsọna	direction,instruction.noun,guide.verb
iamabiola	injection
jinatu	blood
afoku	expired
Buru	immoral.adjective,mean.adjective,worse.adjective,cruel.adjective,wicked.adjective
obòkun	darkness
Ebibi	Destruction
hoped	hope
gbebon	loan
fayo	exit
ọkunrinkọkunrin	male
ságbárí	finally
ta	sell.verb
olukoluni	activity
Sisegun	Crash
mọṣẹ	clean
ilota	obviously
Oluwanike	Dearman
kalẹlati	schedule
Onihoho	Stupid
asare	run
golorun	sweet
akinnaa	duplicate
abírí	abyss
fami	home
kegbé	live
gbogboogbo	general
eranka	animal
oniwa-tutu	named-cold
lojukan	blog,stationary.adjective
ọmọni	knowledge
tàgbà	old
igbooku	weird
mọsalashi	clean up
alamutan	light
kanṣe	wrong
eme	do
alakoko	first of all
àìnípẹ	endless
eesi	otherwise,monument.noun
IJAMBA	accident.noun
Fẹṃi	Pray
saasala	escape.noun,escape.verb
tena	only
mẹta-din-lọgọta	three thousand
siibẹru	confinement
ìdi	rat
mokó	steam
tẹra	press,persist.verb
nwọlẹ	here
Kuje	Monthly
wíwọ	crookedness
oṣumeji	twin
Bókobòko	Save it
onii	on
fẹmii	one
ọmọ-ilu	citizen,citizenship.noun
sakolu	skeptical
ibikokan	one
agbebọrin	midwife
Gbogbpo	Crash
gbooorun	sunset
ileiwosan	goodbye,clinical.adjective,hospital.noun
ALAROYElati	ALWAYS
ijìnlè	waste
ńbá	onboard
oni.Awon	tonight
setoju	set,maintain.verb,support.verb
jaǹbá	bomb
olukọpe	spider
ileeṣẹologun	eighteen
májà	shop
orókún	sackcloth
tisélé	fabricated,happen.verb
biya	pay
pegbogbo	always
ìfọwọ	touch
esin-o-ko	religion-o-not
nigb	later
swaga	sweeping
arooroda	edited
Nogbaisi	Nobisi
yagbẹ-gbuuru	suicide
fisaye	fish
ilu-Ekiti	Ekiti city
ẹgbon	snow,uncle.noun
akekogboye	accuracy
agbebi	birth
eekena	one
nìlẹ	down
Ago-Iwoye	Watches
metala	thirteen.noun
aṣojú-orílẹ	representative
Milionu-Milionu	Millions
mọ-gbọ	hear
nigbà	often,when.adverb,while.conjunction
omoomo	embedded
waasi	basketball,sermon.noun
lojiiji	double
iwa-ibajẹ	corruption,misconduct.noun
dorilẹ-ede	country
tàdínlógún	nineteenth
loúnje	ninth
làbùwẹ	helper
Ajalu	Disaster,tragic.adjective,catastrophe.noun,disaster.noun
Gómínà	governor.noun
ọdún1988	1988
wagba	come and get it
ìgbanilà	linear
niIkare-A	In-A
Ebute	End up,terminal.noun,quay.noun,port.noun
`Ilẹ	Country
ẹ-da-awọn-ọmọ-wa-pada	back-ups
Iriri	Experience,experience.noun
Obianodo	Objection
Oke-Mọsan	Middle Eastern
Aabo	Security,secure.adjective,shield.noun,defence.noun,security.noun
apakokoro	antiseptic
ọjọ-ori	age,age.verb
Marun-un	Five-one
ibasile	residency
iyale	room
tọsi	worth it,worthy.adjective,deserve.verb
jú-èrò	thoughtful
aifiyesi	negligence
aibale	sensation
ijimere	rewarding
kero	tobacco
nileejosin	nervous
imuonitọhun	speaker
ìwájọ	search
sojuogun	chemical
yáa	do it
Ṣuparẹ	Delete
egberin	thousand
ọmígbóná	warm
nibudokọ	colleague
Enyi	Friend
