nakasar	deformity
tapkawa	rubbish
fahinta	understand
caɓalɓali	customization
matakar	level
HCR	UNHCR
gurgunce	lost
nazarce	accelerated
tuntubarsa	contact him
saʼilinda	when
awakai	sea
gidar	my house
Zanfara	Tobacco
guryi	dirty
awaʼoʼi	anxiety
hedkwatarsa	its headquarters
fadamu	fading
balagaggun	adulthood
tabukaci	timer
maganinshi	its solution
damuwarta	stress
taʼaziyarsa	his advice
sakamakonsu	their reward
maciyar	snake
lambatu	drain.noun
Aube	Tomorrow
jaramtawa	tolerance
masabki	mask
cikaken	complete
gudumuwa	contribute
haƙar	tooth
Maiyashi	Welcome
taɓon	corruption
matafiyan	caterpillar
murjani	coral.noun
ʼyaronta	Will be
injiniya	engineer
kaaza	cargo
sacewar	kidnapping
kundu	bow
Kalmominsa	His words
daaka	artificial
atilare	worn
Addabar	Addiction
annobace	annoyance
saliyo	Sierra Leone
kayade	kayaking
yaɗuwar	involvement
kadamar	helmet
zukata	hearts
ganimar	spoil
cikion	fulfillment
bayaswa	delivery
dazuzzuka	woods
hare-harensu	their attacks
angulu	angular
Masanan	Evolutionists
lami-lafiya	half-fine
karafunan	plates
sanyi-sanyi	cold-cold
mikiya	eagle
jkarshe	last minute
hukumonmi	commissioner
rukunonin	groups
kashedin	warnings
gulbin	glue
Deir	Dear
bakuwa	tired
dakekudancin	south
ungulusun	legitimate
Jalore	Jalor
kaʼaida	care
gudunar	flows
rubutuwa	scripts
ayyyukan	tasks
gindinsa	foundation
dominn	dominant
Gaelle	Gael
sansano	noano
Shaʼaibu	Shown
mushen	muscle
Soekarwo	Next
hadadden	complexity
muhimanci	important
zaizaya	please
Guniea	Too much
Zazzabin	Fever
ayukan	works
mahaifarsu	their father
fufe	fucked
maitan	mysterious
Jhalawar	Martial arts
Ati	And
Afirikan	African
wargidan	battlefield
tashinsa	resurrection
Gombawa	Gombe
horaswar	burns
biyi	imitation
hassa	smoke
Falusi	False
Olutayo	Freezer
Adeyinka	Rewards
igwa-igwa	speak
raunukan	injuries
Saudiyyan	Saudi Arabia
Jumhuriyar	Republic
kamfenmu	our community
nazarcen	databases
matuwar	maturity
rubar	rubber
Ngala	Exercise
Maisamari	Butamari
Mbonye	Others
gabatowar	coming
ikonta	his power
jerin-gwano	listings,queue.noun
fafatwa	fatigue
jikkatar	ministry
nannade	wrapped
ƙwararru	professional
santimita	centimeters,centimeter.noun
kota	baggage
Kwande	Save
manyanta	maturity
jamuhuriyan	change
Akpan	Really
waɗan	some
jumhuriyar	Republic
kwararrar	specialist
addanan	minor
yiwuwan	possibly
shahuwar	birth
masassarar	confiscated
naʼurorinta	devices
sojinta	her sister
hadaruruka	damnation
ƙirgar	chestgar
